,id,Email,Password,FirstName,LastName,Address,Phone,HireDate,EmployeeType
0,1,helakmarcelina@example.net,(@V6GEdg$M,Bianka,Pawela,"aleja Wojciecha 79
02-055 Żywiec",+48 537 930 795,1990-12-09,2
1,2,gustawsylwia@example.org,6m%@4WkKUq,Aleksander,Złotek,"al. Jadwigi 14/21
64-194 Lubin",+48 32 732 42 35,2023-03-25,2
2,3,kuchciakkornel@example.org,3CFSk7ev$K,Emil,Kurpisz,"ulica Sosnowa 218
30-860 Pszczyna",736 916 258,1985-06-06,2
3,4,tola87@example.net,+Mtg5^Jem(,Marek,Maciuszek,"aleja Narutowicza 80
41-596 Rybnik",513 705 873,2020-12-26,1
4,5,hartmanandrzej@example.com,^&q*d7FLOa,Ryszard,Szkoda,"pl. Sadowa 864
57-923 Śrem",+48 571 690 571,2017-08-19,1
5,6,jancewiczfryderyk@example.org,y9KTKs$5)4,Sonia,Perka,"ulica Krokusowa 17/44
15-005 Gniezno",780 409 498,1988-10-06,0
6,7,pernakmaksymilian@example.org,vr23FJO2f_,Dawid,Sereda,"al. Armii Krajowej 43/56
27-726 Jastrzębie-Zdrój",+48 697 420 177,2013-11-11,2
7,8,marcelsakwa@example.com,#9UB)lZxvG,Józef,Dargacz,"pl. Wiązowa 430
20-703 Bielawa",+48 578 145 962,1985-10-01,1
8,9,olafstelmasiak@example.org,@IN6wS)hl+,Aleks,Pazik,"ulica Szeroka 64
10-168 Brodnica",789 110 203,1989-03-12,0
9,10,tadeuszlangiewicz@example.net,^82MTa^GyG,Paweł,Kononowicz,"ulica Tartaczna 06/25
75-933 Rybnik",668 097 803,2015-10-04,1
10,11,bianka30@example.com,(rfwICxp)0,Patryk,Duchnik,"ul. Słonecznikowa 95/89
59-151 Łódź",780 542 578,1994-11-08,2
11,12,lusiakmarcelina@example.org,d8@pLpWl^(,Iwo,Otremba,"pl. Żwirki i Wigury 31
24-811 Łowicz",22 596 79 36,1988-09-17,0
12,13,ernest28@example.org,(#S&a0re*9,Mieszko,Jaje,"pl. Mokra 99
78-612 Świebodzice",+48 22 588 18 47,2021-10-16,2
13,14,qmokwa@example.com,#QTHILph*1,Krzysztof,Dawidczyk,"pl. Makowa 18
20-144 Brzeg",726 894 843,2000-04-01,0
14,15,chachajstanislaw@example.com,YB1@Jw1sB^,Aurelia,Paszkowiak,"ul. Spółdzielcza 370
20-768 Kraków",+48 665 665 876,1986-09-22,1
15,16,vgryska@example.com,^Bh2Pkyep2,Maurycy,Kurczak,"aleja Kościuszki 61
27-237 Piastów",793 205 539,1988-02-15,2
